공고번호,회사명,공고제목,지역,경력,기술스택/분야
53948023,에스피에이치,B2B 프로젝트 개발팀 신입,미지정,신입,G<span>it</span> / Java / React / Spring / AI/인공지능
53930238,코닉글로리,Java/Spring Boot 백엔드 개발자 채용,미지정,4 ~ 10년,Java / MySQL / Spring Boot
53957500,델레오코리아,[플랫폼개발팀] 프론트엔드 개발자,미지정,6 ~ 13년,Next.js / OAuth2 / React / Vue.js / Django REST framework JWT
53917237,빅웨이브로보틱스,프론트엔드 (3년 이상),미지정,3 ~ 5년,Flutter / Next.js / React / TypeScript / AWS
54002171,메가스터디교육,웹서비스(백앤드) 개발자 채용,미지정,3 ~ 7년,Classic ASP / MSSQL / MySQL / PHP / Spring / Spring Boot / SQL
53964613,신보,"전산팀 개발, 전산관리 경력 (6~10년)",미지정,6 ~ 10년,Apache Tomcat / Eclipse / Java / JavaScript / jQuery / Linux / MSSQL / MySQL / Oracle / Spring
53860010,이비즈테크,시스템 사업부 엔지니어 신입,미지정,신입,Linux / Windows / AZURE / vmware
54047274,사람인,[사람인] 정보보안 운영 담당자(경력),미지정,3 ~ 10년,ISMS / Ddos / IPS
53863976,티엔에이치,백엔드 개발자,미지정,3 ~ 5년,Amazon EMR / Cassandra / Docker / G<span>it</span> / JavaScript / Jira / Node.js / PostgreSQL / TypeScript / SQL
53888878,위드네트웍스,NGFW / Network 엔지니어(신입),미지정,신입,AWS / GCP / Network / Ddos / FortiGate NGFW
53891296,필라넷,.NET 풀스택 개발자 채용,미지정,7 ~ 15년,.NET / ASP.NET / C# / Docker / JavaScript / MSSQL / TypeScript / Vue.js / SQL / AZURE
53892033,바로팜,정보보안 담당자,미지정,5 ~ 12년,Python / AWS / DeepLearning / AI/인공지능 / GCP / AZURE / ISMS / CISSP / AWS WAF / Azure DevOps
53863231,(주)티시스 아이티,[인사]서버/웹프론트엔지니어,미지정,5 ~ 15년,Java / Linux
53861866,네오랩컨버전스,백엔드 개발자 (5년 이상),미지정,5 ~ 10년,CSS 3 / Flutter / JavaScript / React / React Native / TypeScript / REST API
53863954,필라넷,백엔드개발자,미지정,5 ~ 10년,Docker / JavaScript / Kubernetes / NestJS / Node.js / React / TypeScript / AWS / GCP / AZURE
53957489,델레오코리아,[플랫폼개발팀] Java 개발자,미지정,5 ~ 8년,Docker / G<span>it</span> / G<span>it</span>Hub / JavaScript / MySQL / React / AWS
54055787,연합인포맥스,<span>IT</span>/AI부문(전문연구요원 포함)신입,미지정,신입,Azure DevOps / Python / AWS / GCP / AZURE
53877435,이스트시큐리티,시스템 엔지니어 경력 채용,미지정,10 ~ 20년,Argo / CentOS / Jenkins / Linux / Ubuntu
53967438,의식주컴퍼니(런드리고),런드리24 백엔드 개발자,미지정,5 ~ 10년,Java / JavaScript / Kafka / React / Spring Boot / Windows / Spring Data JPA / REST API / NoSql / Golang
54026720,인딥에이아이,AI 채용솔루션(ATS) 백엔드 엔지니어,미지정,3 ~ 10년,Docker / G<span>it</span> / MongoDB / NestJS / Node.js / Python / Redis / REST API / AWS / AZURE
