공고번호,회사명,공고제목,지역,경력,기술스택/분야
53965580,(주)진인프라,[중견IT기업] 2026년 상반기 신입 및 경력 직원 공개 채용,서울 송파구,신입·경력,품질관리 / 백엔드/서버개발 / 데이터엔지니어
54061412,오스템임플란트(주),"영업/마케팅, IT/SW, 연구/개발, 경영지원, 생산물류 분야 채용",서울 강서구,신입·경력,회계 / 회계결산 / 기업회계
54105419,(주)제이와이피엔터테인먼트,JYP엔터테인먼트 IT LAB 집중 채용,서울 강동구,경력,딥러닝 / AI(인공지능) / 백엔드/서버개발
54119512,중소기업중앙회,각 분야 경력사원 채용 (자산운용/IT전문가),서울 영등포구,경력,아키텍쳐 / AI(인공지능) / 데이터분석가
54088303,(주)에이치엘클레무브,'26 신입/경력 채용 (R&D(전문연구요원 포함)/품질/IT/시설안전),경기 성남시 수정구,신입·경력,품질보증 / 자율주행 / 유틸리티관리
54110597,(주)더블유쇼핑,[W-Shopping] 홈쇼핑MD/E-커머스/품질보증/IT 부문 채용,서울 서초구,경력,사업기획 / QA / 정보보안
54001824,(주)언일전자,[글램팜] 전산팀 - IT담당자 채용,경기 남양주시,신입·경력,보안컨설팅 / 네트워크 / 인프라
54001323,퍼스트해빗(주),IT 경영지원,서울 강남구,신입·경력,전화응대 / 서류관리 / Excel
54040762,(주)한국에바라정밀기계,경영지원실 IT팀 신입 채용,경기 화성시,신입,정보보안 / 보안컨설팅 / 보안관제
54028415,(주)복산나이스,복산나이스 IT 팀 채용 공고,서울 송파구,경력 2~20년,정보보안 / 보안컨설팅 / 기술지원
54041794,(주)모나미,모나미 IT운영팀 인프라 담당 채용,경기 용인시 수지구,경력 5~9년,보안컨설팅 / 보안관제 / 네트워크
53966559,(주)이지홀딩스,IT 시스템관리 신입/경력 채용,경기 용인시 처인구,신입·경력,보안컨설팅 / 보안관제 / 네트워크
54118443,(주)코리아인,[판교/중견IT기업] 임원비서 모집(신입 인재 모집),경기 성남시 분당구,경력무관,사무보조 / 문서작성 / 자료입력
54023897,(주)케이에스엠,[KSM그룹] 기획·IT·생산관리·품질 부문 신입/경력직 채용,경기 김포시,경력무관,알고리즘 / 아키텍쳐 / 생산관리
54039825,그랜드코리아레저(주),일반전형_[IT기획개발],서울 강남구,신입,정보보안 / 보안컨설팅 / 정보통신
54086213,(주)강원랜드,2026년 1차 신입직 채용 공고(IT(정보보안)),강원 정선군,신입,보안관제 / 방화벽 / SE(시스템엔지니어)
54103341,(주)삼천리,2026년 삼천리 IT부문 경력사원 모집,서울 영등포구,경력 3~6년,ERP / 에너지
54124477,한국자산평가(주),"[시너지, 컨설팅, IT] 경력 및 신입(인턴) 채용 공고",서울 종로구,경력무관,텔러 / 금융사무 / 채권관리 / DBMS
54109988,(주)상상인저축은행,상상인저축은행  IT개발자 신입사원 신규채용,경기 성남시 분당구,신입,제2금융권 / 저축은행 / 저축은행
53917938,(주)태웅로직스,IT개발팀 신입/경력 채용,서울 서초구,신입·경력,C++ / 백엔드/서버개발 / 정보보안
53886053,디에이치라이팅 2공장,디에이치라이팅 국내영업팀 / IT팀 / 인사팀 팀원 모집,인천 서구,경력무관,연구원 / H/W / 거래처관리
53867500,(주)사람인에이치에스,[전환가능성/커리어확장] 다우기술 IT시스템 기술지원 채용,경기 성남시 분당구,경력무관,CISO / 백엔드/서버개발 / 데이터엔지니어
54049606,(주)사람인에이치에스,[충정로역/중견기업] IT헬프데스크 담당자 채용,서울 서대문구,경력무관,정보보안 / 보안컨설팅 / 보안관제
54044949,(주)데이타솔루션,[중견기업/IT계열] 데이타솔루션 재경팀 채용(신입/경력),서울 강남구,신입·경력,재무회계 / 회계결산 / 기업회계
54055643,협운해운(주),협운그룹 경영지원팀 전산/IT 담당 채용,서울 종로구,경력무관,문서작성 / 자산관리 / 전산총무
54074025,센서텍(주),IT인프라 경력직 모집,서울 강서구,경력10년↑,데이터분석가 / C++ / 백엔드/서버개발
54120053,(주)사람인에이치에스,[전환가능성/커리어확장] 다우기술 IT품질관리 엔지니어 채용,경기 성남시 분당구,경력무관,데이터분석가 / 데이터엔지니어 / IT컨설팅
53968678,(주)어댑트,IT/GA 담당자,서울 강남구,경력,보안관제 / 네트워크 / 인프라
54016722,(주)에스테이트,[일경험]인턴형 참여자 모집 (경영사무/마케팅/IT개발/인사/사서),서울 강남구,경력무관,AI(인공지능) / Python / 백엔드/서버개발
53947368,엔큐리티(주),"[IT정보보안/사세확장] 부문별 채용 (네트워크보안,총무,인사)",경기 성남시 분당구,경력,CISO / 퍼블리시티 / Python
54109202,엔비에이치캐피탈(주),[NBH캐피탈] IT 전산 담당자 경력 채용,서울 종로구,경력3년↑,캐피탈
54106463,(주)이에스티소프트,[(주)이에스티소프트] IT 분야별 신입/경력 채용,서울 영등포구,경력무관,웹개발 / Java / 프론트엔드
54121565,필즈엔지니어링,필즈엔지니어링 IT 정규직 채용(신입),서울 금천구,신입,S/W / 플랜트설비 / H/W
54122081,(주)아이웍스,"[(주)아이웍스 서울] IT 인프라 시스템 엔지니어 신입,경력 채용",서울 영등포구,신입·경력,유지보수 / Linux / H/W
53806559,(주)아크로퓨처,2026년 IT개발부문 경력 직원 채용,서울 강남구,경력3년↑,AI(인공지능) / Python / 빅데이터
54106687,에스앤에스아이앤씨(주),S&S 코퍼레이션(주) IT서비스팀 채용 모집(경력),서울 종로구,신입·경력,C# / ERP / MES
53849323,헥사곤지엠아이(주),"[국비지원] 베트남, 일본취업(공학/IT/지상직) 연수생 모집",서울 강남구,경력무관,생산관리 / 품질관리 / 기계설계
54003693,(주)포르텍,IT 솔루션 영업사원 채용,서울 영등포구,신입·경력,솔루션기술영업 / 기술영업 / 영업직
54116699,(주)휴맥스,[휴맥스그룹] 휴맥스IT SAP ERP 모듈 담당자,경기 성남시 분당구,신입·경력,ERP / SI·시스템통합 / ERP / 소프트웨어개발
54078614,(주)닉컴퍼니,(주)닉컴퍼니와 함께할 금융IT SI 개발자를 찾고 있어요,서울 강서구,경력무관,앱개발 / 웹개발 / Java
54003963,(주)미투유코리아,[웹개발] IT 신입/경력 개발자 채용,서울 강서구,경력무관,PostgreSQL / Java / NoSQL
54000541,크럭스데이타(주),금융IT 솔루션 풀스택 개발자 채용,서울 강남구,경력무관,SI·시스템통합
54088139,경북대학교,2026년도 IT대학 계약직원 채용 공고,대구 북구,경력무관,교육행정 / 사무행정 / 대학교
53697728,마준소프트(주),IT 웹/AI/서버 프로그래머 개발자 모집(신입/경력),경기 용인시,신입·경력,정보보안 / 네트워크 / C언어
54111669,동덕여자대학교,2026년 동덕여자대학교 신규 행정직원(IT분야) 모집,서울 성북구,신입·경력,유지보수 / 앱개발 / 웹개발
54085359,코드아이디어(주),[IT] 해내는 개발자 채용,서울 강서구,경력무관,웹개발 / Linux / 프론트엔드
53964251,Kim & Chang (김앤장 법률사무소),"[김.장 법률사무소] IT 부문(개발, IT 운영, IT 지원, 정보보안)",서울 종로구,경력무관,네트워크 / 인프라 / S/W
54025760,(주)디벨로켓에듀,[부산] IT 교육운영 PM 팀장/리드급 채용(신입),부산 남구,신입,교육컨설턴트 / 교육콘텐츠개발 / 교육콘텐츠기획
54101890,세피스,IT기업 경영지원팀 직원 모집,서울 금천구,경력2년↑,계산서발행 / 경영지원 / 급여(Payroll) / SI·시스템통합 / ERP
54116442,삼보에이앤티(주),[중견] 삼보에이앤티(주)  IT Part 신입/경력 채용,충북 괴산군,신입·경력,유지보수 / ERP / Windows
54056638,엘비유세스(주),[인덕원역/PC유지보수] 농협IT 원격지원센터,경기 의왕시,경력무관,기술지원 / 유지보수 / H/W
54126018,쿠팡(주),IT Operations Engineer (인천 물류센터),인천 서구,경력12년↑,네트워크 / 인프라 / SE(시스템엔지니어)
54116653,(주)파라다이스세가사미,Paradise City_2026 3분기 수시 채용(IT),인천 중구,경력3년↑,Java / JSP / 호텔
